Activity Id,Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
210d0635-2672-4aa0-b129-8d5721e75fa1,2023-09-04 18:53:47,Running,,1.16,10:35,9:09,6.56,97.0,24,,"","",2023-09-04-185347.gpx
53093fb6-01f1-4106-9d42-36712949f5d4,2023-01-27 21:14:07,Other,,3.09,30:35,9:53,6.07,210.0,0,131,"","",
e1e459a6-5a90-445f-aed8-3a1d8d07a76a,2023-01-26 12:52:08,Other,,1.15,12:09,10:33,5.69,79.0,0,127,"","",
9f22f5f3-067e-4288-aa40-b3c88d8431be,2023-01-26 11:59:16,Other,,1.07,11:31,10:44,5.59,63.0,0,126,"","",
94f81448-e741-4677-98e1-642224e4ebbb,2023-01-25 19:40:50,Other,,1.54,10:36,6:54,8.69,79.0,0,140,"","",
c01d33d8-ca25-446e-9d8f-8a7174043425,2023-01-25 19:36:51,Other,,0.54,3:51,7:05,8.48,26.0,0,121,"","",
65a25567-e302-43e6-980c-2db17087747d,2023-01-25 19:21:00,Other,,2.56,15:29,6:02,9.94,105.0,0,141,"","",
232f0278-9780-471e-b690-8adb81e78f5d,2023-01-25 18:44:04,Other,,0.16,8:26,53:23,1.12,34.0,0,106,"","",
ba309ca6-1ef6-4907-917e-2029f20cf6f0,2023-01-25 18:01:04,Other,,0.59,6:11,10:27,5.74,40.0,0,133,"","",
586a5b98-54f0-4748-8d87-ac50219ab8ab,2023-01-25 17:44:22,Other,,0.22,2:22,10:57,5.48,8.0,0,108,"","",
17f2ac84-78e1-4a7f-a6fc-70350fa09501,2023-01-25 17:33:52,Other,,0.18,1:58,11:03,5.43,9.0,0,111,"","",
0636c5e6-e948-44b3-830c-c9b65e485b2d,2023-01-25 17:24:29,Other,,0.59,6:56,11:43,5.12,27.0,0,108,"","",
5c6544c6-e5f6-4908-8b59-1f7a5b2f951e,2023-01-25 16:08:39,Other,,0.01,1:32,139:24,0.43,1.0,0,66,"","",
53a079cf-271a-4d17-b613-2ffa447d2a79,2023-01-25 06:56:00,Other,,0.40,6:55,17:10,3.50,32.0,0,112,"","",
b53b8f5d-35a5-4ed4-b23b-e5b61ed7aea7,2023-01-24 17:41:18,Other,,0.74,10:14,13:45,4.36,26.0,0,97,"","",
bdb81b64-8ed5-4f30-8951-9d7fc5bd698d,2023-01-23 19:18:05,Other,,4.62,28:23,6:09,9.76,206.0,0,143,"","",
6e058391-7008-404a-999d-dea2dc09c793,2023-01-23 17:15:40,Other,,1.89,20:05,10:39,5.63,98.0,0,112,"","",
efd19394-5f8f-4263-8ca6-5ebf06c3083a,2023-01-23 12:37:02,Other,,1.13,11:43,10:24,5.77,58.0,0,117,"","",
